Fixture ID,Date,League,Time,Home,Away,Odds_H,Odds_A,Over_Line,Odds_Over,Odds_Under,HA_Line,HA_Odds_H,HA_Odds_A
zNML1xWc,2024-02-13,Eua Nba,00:30,Los Angeles Clippers,Minnesota Timberwolves,1.53,2.61,223.5,1.85,2.09,-5.5,2.1,1.83
EDLP0do4,2024-02-13,Eua Nba,21:30,Brooklyn Nets,Boston Celtics,3.94,1.28,228.5,1.81,2.07,8.5,2.0,1.94
8zLTaG0A,2024-02-13,Eua Nba,21:30,Orlando Magic,Oklahoma City Thunder,2.23,1.7,225.5,1.83,2.04,1.5,2.1,1.84
pSMHsqZk,2024-02-13,Alemanha Bbl,14:30,Braunschweig,Syntainics MBC,1.33,3.38,173.5,1.82,1.94,-8.5,2.01,1.76
QgKaWUm3,2024-02-13,Alemanha Bbl,16:00,Alba Berlin,Gottingen,1.06,9.4,180.5,1.8,1.96,-16.5,2.0,1.77
xb3846t3,2024-02-13,Alemanha Bbl,16:00,Bamberg,Heidelberg,1.22,4.39,182.5,1.87,1.92,-11.5,2.04,1.72
QNa45nRd,2024-02-13,Alemanha Bbl,16:00,Bayern,Chemnitz,1.24,4.15,161.5,1.87,1.92,-11.5,2.1,1.65
GhIDrPJq,2024-02-13,Alemanha Bbl,16:00,Ulm,Hamburg,1.23,4.26,178.5,1.83,1.95,-10.5,1.99,1.78
29EVr18B,2024-02-13,Argentina Liga A,20:00,Platense,La Union,1.31,3.25,156.5,1.8,1.86,-8.5,2.03,1.7
EwRL4cmL,2024-02-13,Argentina Liga A,21:00,San Martin,Regatas,1.43,2.68,151.5,1.8,1.86,-6.5,2.03,1.7
ADrhVibi,2024-02-13,Argentina Liga Feminina,20:00,Obras F,Rocamora F,1.21,4.08,125.5,1.85,1.85,-10.5,1.96,1.75
A9UYVg1p,2024-02-13,Coreia Do Sul Kbl,07:00,Seoul Thunders,Anyang JungKwanJang,2.32,1.6,168.5,1.89,1.89,1.5,2.09,1.64
IHx7zzgT,2024-02-13,Coreia Do Sul Kbl,07:00,Wonju DB,Seoul Knights,1.42,2.83,164.5,1.87,1.79,-6.5,1.95,1.76
YuFwH7On,2024-02-13,Europa Enbl,14:30,Bakken Bears,Zwolle,1.05,8.7,164.5,1.8,1.88,-18.5,2.08,1.66
IwWVatyC,2024-02-13,Europa Enbl,16:30,Newcastle Eagles,Zielona Gora,1.2,4.27,170.5,1.85,1.85,-11.5,1.95,1.76
raWk1QCa,2024-02-13,Europa Liga Letônia,14:30,Latvijas Universitate,BK Liepaja,3.69,1.25,156.5,1.87,1.79,7.5,2.06,1.68
IDQwxPEf,2024-02-13,Europa Wbbl Feminina,13:30,LCC F,Klaipedos Neptunas F,1.26,3.61,140.5,1.85,1.85,-8.5,1.85,1.85
GCbDL4yL,2024-02-13,Finlândia Korisliiga,13:30,Kobrat,Lahti Basketball,1.26,3.69,174.5,1.86,1.8,-9.5,2.0,1.72
l6KhQ60g,2024-02-13,França Pro B,16:00,Boulazac,La Rochelle,1.61,2.22,153.5,1.87,1.83,-4.5,2.09,1.66
YBHWpOVu,2024-02-13,França Copa Da França,16:00,Le Mans,Dijon,1.6,2.27,157.5,1.87,1.87,-4.5,2.06,1.68
6PFvq20h,2024-02-13,França Copa Da França,16:00,Monaco,Lyon-Villeurbanne,1.29,3.46,160.5,1.81,1.85,-9.5,2.04,1.69
YyoQPv0U,2024-02-13,França Copa Da França,16:00,Nancy,JL Bourg,3.46,1.29,158.5,1.86,1.88,7.5,1.96,1.75
2i9mstV4,2024-02-13,França Copa Da França,16:00,Nanterre,Saint Quentin,1.44,2.7,155.5,1.88,1.78,-6.5,2.06,1.68
C2Gzpron,2024-02-13,França Copa Da França,16:00,Strasbourg,Cholet,1.56,2.36,161.5,1.8,1.87,-4.5,1.98,1.74
Ukm16s7n,2024-02-13,Islândia Premier League Feminina,15:15,Stjarnan F,Njardvik F,6.9,1.08,145.5,1.85,1.85,15.5,1.85,1.85
UP3AXJ5o,2024-02-13,Islândia Premier League Feminina,15:00,Valur F,Snaefell F,1.05,8.35,140.5,1.85,1.85,-17.5,1.88,1.82
8G2EWwLi,2024-02-13,Islândia Premier League Feminina,16:15,Thor AK Akureyri F,Fjolnir F,1.18,4.51,144.5,1.83,1.83,-16.5,1.83,1.83
rq8p948T,2024-02-13,Israel Superliga,13:50,Maccabi Tel Aviv,Maccabi Ironi Ramat Gan,1.18,4.59,171.5,1.87,1.87,-11.5,1.98,1.74
AcpX1qUT,2024-02-13,Libano Divisão 1,11:45,Homenetmen Beirut,Antranik Beirut,1.18,4.46,164.5,1.86,1.84,-10.5,1.85,1.85
SpDBW9iB,2024-02-13,México Lmbpf Feminina,23:00,Libelulas F,Mineras F,1.02,11.1,133.5,1.85,1.85,-19.5,1.85,1.85
rebQeAr6,2024-02-13,Noruega Blno,15:00,Centrum Tigers,Asker,1.22,3.98,156.5,1.8,1.86,-10.5,2.02,1.71
S4BiPTh3,2024-02-13,República Tcheca Zbl Feminina,14:30,Hradec Kralove F,KP Brno F,2.34,1.55,142.5,1.83,1.83,2.5,2.01,1.71
x42vY3zr,2024-02-13,República Tcheca Zbl Feminina,15:30,Brandys nad Labem F,USK Prague F,1.67,2.03,148.5,1.8,1.86,50.5,1.95,1.76
pMix42gn,2024-02-13,Rússia Liga Vtb United,11:30,Minsk,Uralmash Ekaterinburg,8.1,1.08,159.5,1.81,1.95,13.5,2.06,1.69
S4NNpugO,2024-02-13,Rússia Liga Vtb United,12:30,Samara,Runa Basket Moscow,1.45,2.77,156.5,1.87,1.89,-6.5,2.06,1.73
6eMRqa8U,2024-02-13,Rússia Liga Vtb United,13:30,Nizhny Novgorod,MBA Moscow,1.53,2.53,150.5,1.86,1.92,-5.5,2.02,1.74
QeNUaJYO,2024-02-13,Suécia Basketligan,15:04,Koping Stars,Norrkoping,6.95,1.08,175.5,1.86,1.84,12.5,2.1,1.65
n5OQ0aJI,2024-02-13,Suécia Basketligan,15:04,Nassjo,Jamtland,2.5,1.49,169.5,1.82,1.88,3.5,1.97,1.74
2D6DO2BP,2024-02-13,Suécia Basketligan,15:04,Uppsala,Borås,4.61,1.17,171.5,1.84,1.86,10.5,1.95,1.76
CrhhFAx3,2024-02-13,Suíça Liga Sb,15:30,Geneva Lions,BBC Monthey,1.17,4.56,159.5,1.83,1.87,-11.5,1.97,1.75
Mux8J3J3,2024-02-13,Turquia Copa Da Turquia,12:00,Anadolu Efes,Manisa,1.14,5.13,167.5,1.85,1.85,-12.5,2.0,1.72
vHn3Kq4c,2024-02-13,Turquia Copa Da Turquia,14:30,Pinar Karsiyaka,Galatasaray,1.43,2.68,171.5,1.85,1.85,-6.5,2.01,1.72
AgrB0r0p,2024-02-13,Turquia Tkbl Feminina,12:00,Botas 2 F,Fenerbahce 2 F,1.27,3.53,131.5,1.8,1.9,-9.5,1.94,1.77
MwPXbzGG,2024-02-13,Eua Nba,22:00,Milwaukee Bucks,Miami Heat,1.29,3.83,221.5,1.88,2.04,-8.5,1.97,1.97
WdSRAi6t,2024-02-13,Ásia Wasl,13:00,Al Manama,Al-Shabab,1.22,3.98,164.5,1.85,1.85,-11.5,2.07,1.67
QJRV9BLn,2024-02-13,Ásia Wasl,15:00,Kazma,Al Shamal,1.03,40.0,176.5,1.85,1.85,-32.5,1.95,1.76
fmLhsco5,2024-02-13,Bósnia E Herzegovina Prvenstvo Bih Feminina,14:30,Play Off Sarajevo F,Lavovi F,5.91,1.08,134.5,1.8,1.86,8.5,2.04,1.69
lf459zEB,2024-02-13,Croácia Copa Da Croácia,16:00,Cedevita,Dinamo Zagreb,1.94,1.78,162.5,1.85,1.85,-3.5,2.07,1.67
